nome,descricao,multiplicador_preco,bagagem_inclusa_kg,prioridade_embarque
MILITAR_36,Variante 36 da tarifa militar.,1.03,23,1
IDOSO_36,Variante 36 da tarifa idoso.,0.77,19,2
FAMILIA_36,Variante 36 da tarifa familia.,0.98,34,2
GRUPO_36,Variante 36 da tarifa grupo.,0.89,25,5
ECONOMICA_LIGHT_37,Variante 37 da tarifa economica light.,0.8,7,4
ECONOMICA_STANDARD_37,Variante 37 da tarifa economica standard.,0.78,32,1
ECONOMICA_PLUS_37,Variante 37 da tarifa economica plus.,1.03,36,5
ECONOMICA_FLEX_37,Variante 37 da tarifa economica flex.,1.53,37,5
EXECUTIVA_LIGHT_37,Variante 37 da tarifa executiva light.,1.85,38,2
EXECUTIVA_STANDARD_37,Variante 37 da tarifa executiva standard.,2.68,36,1
EXECUTIVA_FLEX_37,Variante 37 da tarifa executiva flex.,3.08,45,4
PRIMEIRA_CLASSE_37,Variante 37 da tarifa primeira classe.,3.75,54,4
PRIMEIRA_FLEX_37,Variante 37 da tarifa primeira flex.,5.1,47,3
PREMIUM_ECONOMY_37,Variante 37 da tarifa premium economy.,1.82,32,2
BUSINESS_SAVER_37,Variante 37 da tarifa business saver.,2.25,35,3
BUSINESS_FULL_37,Variante 37 da tarifa business full.,3.41,43,1
PROMO_BASICA_37,Variante 37 da tarifa promo basica.,0.53,2,4
PROMO_ESPECIAL_37,Variante 37 da tarifa promo especial.,0.97,11,2
CORPORATE_37,Variante 37 da tarifa corporate.,2.0,32,4
ESTUDANTE_37,Variante 37 da tarifa estudante.,0.74,29,1
MILITAR_37,Variante 37 da tarifa militar.,1.06,33,4
IDOSO_37,Variante 37 da tarifa idoso.,0.85,28,2
FAMILIA_37,Variante 37 da tarifa familia.,0.98,22,4
GRUPO_37,Variante 37 da tarifa grupo.,1.13,23,1
ECONOMICA_LIGHT_38,Variante 38 da tarifa economica light.,0.99,8,1
ECONOMICA_STANDARD_38,Variante 38 da tarifa economica standard.,0.72,21,5
ECONOMICA_PLUS_38,Variante 38 da tarifa economica plus.,1.5,39,3
ECONOMICA_FLEX_38,Variante 38 da tarifa economica flex.,1.48,31,3
EXECUTIVA_LIGHT_38,Variante 38 da tarifa executiva light.,2.02,36,4
EXECUTIVA_STANDARD_38,Variante 38 da tarifa executiva standard.,2.7,36,3
EXECUTIVA_FLEX_38,Variante 38 da tarifa executiva flex.,3.28,36,2
PRIMEIRA_CLASSE_38,Variante 38 da tarifa primeira classe.,4.1,45,2
PRIMEIRA_FLEX_38,Variante 38 da tarifa primeira flex.,4.99,51,1
PREMIUM_ECONOMY_38,Variante 38 da tarifa premium economy.,1.46,35,4
BUSINESS_SAVER_38,Variante 38 da tarifa business saver.,2.03,34,5
BUSINESS_FULL_38,Variante 38 da tarifa business full.,3.72,48,3
PROMO_BASICA_38,Variante 38 da tarifa promo basica.,0.71,9,1
PROMO_ESPECIAL_38,Variante 38 da tarifa promo especial.,0.72,17,5
CORPORATE_38,Variante 38 da tarifa corporate.,1.69,31,1
ESTUDANTE_38,Variante 38 da tarifa estudante.,0.8,16,4
MILITAR_38,Variante 38 da tarifa militar.,0.85,28,5
IDOSO_38,Variante 38 da tarifa idoso.,0.98,18,5
FAMILIA_38,Variante 38 da tarifa familia.,0.9,28,5
GRUPO_38,Variante 38 da tarifa grupo.,0.96,23,3
ECONOMICA_LIGHT_39,Variante 39 da tarifa economica light.,0.95,6,1
ECONOMICA_STANDARD_39,Variante 39 da tarifa economica standard.,1.21,25,3
ECONOMICA_PLUS_39,Variante 39 da tarifa economica plus.,1.22,39,2
ECONOMICA_FLEX_39,Variante 39 da tarifa economica flex.,1.61,28,4
EXECUTIVA_LIGHT_39,Variante 39 da tarifa executiva light.,1.86,33,1
EXECUTIVA_STANDARD_39,Variante 39 da tarifa executiva standard.,2.59,48,5
EXECUTIVA_FLEX_39,Variante 39 da tarifa executiva flex.,3.28,38,1
PRIMEIRA_CLASSE_39,Variante 39 da tarifa primeira classe.,4.15,53,1
PRIMEIRA_FLEX_39,Variante 39 da tarifa primeira flex.,4.82,51,5
PREMIUM_ECONOMY_39,Variante 39 da tarifa premium economy.,1.6,22,5
BUSINESS_SAVER_39,Variante 39 da tarifa business saver.,2.2,45,4
BUSINESS_FULL_39,Variante 39 da tarifa business full.,3.59,51,5
PROMO_BASICA_39,Variante 39 da tarifa promo basica.,0.43,2,2
PROMO_ESPECIAL_39,Variante 39 da tarifa promo especial.,0.64,25,4
CORPORATE_39,Variante 39 da tarifa corporate.,1.51,33,1
ESTUDANTE_39,Variante 39 da tarifa estudante.,0.59,15,5
MILITAR_39,Variante 39 da tarifa militar.,0.56,23,3
IDOSO_39,Variante 39 da tarifa idoso.,0.72,31,1
FAMILIA_39,Variante 39 da tarifa familia.,0.91,24,4
GRUPO_39,Variante 39 da tarifa grupo.,0.73,23,2
ECONOMICA_LIGHT_40,Variante 40 da tarifa economica light.,1.08,3,1
ECONOMICA_STANDARD_40,Variante 40 da tarifa economica standard.,1.09,23,2
ECONOMICA_PLUS_40,Variante 40 da tarifa economica plus.,1.44,26,3
ECONOMICA_FLEX_40,Variante 40 da tarifa economica flex.,1.37,29,1
EXECUTIVA_LIGHT_40,Variante 40 da tarifa executiva light.,1.86,35,1
EXECUTIVA_STANDARD_40,Variante 40 da tarifa executiva standard.,2.21,50,5
EXECUTIVA_FLEX_40,Variante 40 da tarifa executiva flex.,3.2,43,1
PRIMEIRA_CLASSE_40,Variante 40 da tarifa primeira classe.,4.04,50,3
PRIMEIRA_FLEX_40,Variante 40 da tarifa primeira flex.,4.92,52,5
PREMIUM_ECONOMY_40,Variante 40 da tarifa premium economy.,1.69,21,5
BUSINESS_SAVER_40,Variante 40 da tarifa business saver.,2.19,39,1
BUSINESS_FULL_40,Variante 40 da tarifa business full.,3.77,44,2
PROMO_BASICA_40,Variante 40 da tarifa promo basica.,0.75,9,1
PROMO_ESPECIAL_40,Variante 40 da tarifa promo especial.,0.75,25,2
CORPORATE_40,Variante 40 da tarifa corporate.,1.95,33,5
ESTUDANTE_40,Variante 40 da tarifa estudante.,0.69,20,2
MILITAR_40,Variante 40 da tarifa militar.,0.77,35,3
IDOSO_40,Variante 40 da tarifa idoso.,1.08,23,3
FAMILIA_40,Variante 40 da tarifa familia.,0.81,26,2
GRUPO_40,Variante 40 da tarifa grupo.,0.9,18,5
ECONOMICA_LIGHT_41,Variante 41 da tarifa economica light.,1.0,0,1
ECONOMICA_STANDARD_41,Variante 41 da tarifa economica standard.,0.82,30,5
ECONOMICA_PLUS_41,Variante 41 da tarifa economica plus.,1.16,37,2
ECONOMICA_FLEX_41,Variante 41 da tarifa economica flex.,1.13,25,2
EXECUTIVA_LIGHT_41,Variante 41 da tarifa executiva light.,2.03,41,2
EXECUTIVA_STANDARD_41,Variante 41 da tarifa executiva standard.,2.23,39,1
EXECUTIVA_FLEX_41,Variante 41 da tarifa executiva flex.,2.72,45,2
PRIMEIRA_CLASSE_41,Variante 41 da tarifa primeira classe.,3.93,58,2
PRIMEIRA_FLEX_41,Variante 41 da tarifa primeira flex.,4.74,56,2
PREMIUM_ECONOMY_41,Variante 41 da tarifa premium economy.,1.55,20,1
BUSINESS_SAVER_41,Variante 41 da tarifa business saver.,2.1,45,5
BUSINESS_FULL_41,Variante 41 da tarifa business full.,3.39,41,1
PROMO_BASICA_41,Variante 41 da tarifa promo basica.,0.6,0,3
PROMO_ESPECIAL_41,Variante 41 da tarifa promo especial.,0.97,10,1
CORPORATE_41,Variante 41 da tarifa corporate.,1.98,31,5
ESTUDANTE_41,Variante 41 da tarifa estudante.,0.73,21,1
MILITAR_41,Variante 41 da tarifa militar.,0.94,25,2
IDOSO_41,Variante 41 da tarifa idoso.,0.66,24,5
FAMILIA_41,Variante 41 da tarifa familia.,1.29,21,5
GRUPO_41,Variante 41 da tarifa grupo.,0.93,17,4
ECONOMICA_LIGHT_42,Variante 42 da tarifa economica light.,0.8,0,1
ECONOMICA_STANDARD_42,Variante 42 da tarifa economica standard.,0.71,26,3
ECONOMICA_PLUS_42,Variante 42 da tarifa economica plus.,1.42,33,4
ECONOMICA_FLEX_42,Variante 42 da tarifa economica flex.,1.58,40,1
EXECUTIVA_LIGHT_42,Variante 42 da tarifa executiva light.,2.04,29,4
EXECUTIVA_STANDARD_42,Variante 42 da tarifa executiva standard.,2.7,49,3
EXECUTIVA_FLEX_42,Variante 42 da tarifa executiva flex.,2.88,48,1
PRIMEIRA_CLASSE_42,Variante 42 da tarifa primeira classe.,4.29,49,2
PRIMEIRA_FLEX_42,Variante 42 da tarifa primeira flex.,5.16,54,2
PREMIUM_ECONOMY_42,Variante 42 da tarifa premium economy.,1.41,24,1
BUSINESS_SAVER_42,Variante 42 da tarifa business saver.,2.29,30,2
BUSINESS_FULL_42,Variante 42 da tarifa business full.,3.41,46,5
PROMO_BASICA_42,Variante 42 da tarifa promo basica.,0.46,0,2
PROMO_ESPECIAL_42,Variante 42 da tarifa promo especial.,0.97,10,5
CORPORATE_42,Variante 42 da tarifa corporate.,1.66,39,4
ESTUDANTE_42,Variante 42 da tarifa estudante.,0.98,27,5
MILITAR_42,Variante 42 da tarifa militar.,0.56,25,4
IDOSO_42,Variante 42 da tarifa idoso.,0.98,29,3
FAMILIA_42,Variante 42 da tarifa familia.,0.86,24,4
GRUPO_42,Variante 42 da tarifa grupo.,0.9,29,5
ECONOMICA_LIGHT_43,Variante 43 da tarifa economica light.,0.99,0,2
ECONOMICA_STANDARD_43,Variante 43 da tarifa economica standard.,0.86,29,3
ECONOMICA_PLUS_43,Variante 43 da tarifa economica plus.,1.25,36,1
ECONOMICA_FLEX_43,Variante 43 da tarifa economica flex.,1.33,29,1
EXECUTIVA_LIGHT_43,Variante 43 da tarifa executiva light.,1.76,30,3
EXECUTIVA_STANDARD_43,Variante 43 da tarifa executiva standard.,2.77,37,2
EXECUTIVA_FLEX_43,Variante 43 da tarifa executiva flex.,3.18,47,3
PRIMEIRA_CLASSE_43,Variante 43 da tarifa primeira classe.,4.14,58,3
PRIMEIRA_FLEX_43,Variante 43 da tarifa primeira flex.,4.99,58,5
PREMIUM_ECONOMY_43,Variante 43 da tarifa premium economy.,1.7,24,2
BUSINESS_SAVER_43,Variante 43 da tarifa business saver.,2.18,31,1
BUSINESS_FULL_43,Variante 43 da tarifa business full.,3.5,48,3
PROMO_BASICA_43,Variante 43 da tarifa promo basica.,0.57,0,5
PROMO_ESPECIAL_43,Variante 43 da tarifa promo especial.,0.85,24,5
CORPORATE_43,Variante 43 da tarifa corporate.,2.09,28,5
ESTUDANTE_43,Variante 43 da tarifa estudante.,0.47,24,5
MILITAR_43,Variante 43 da tarifa militar.,1.06,24,1
IDOSO_43,Variante 43 da tarifa idoso.,0.86,19,1
FAMILIA_43,Variante 43 da tarifa familia.,1.04,26,4
GRUPO_43,Variante 43 da tarifa grupo.,1.01,19,2
ECONOMICA_LIGHT_44,Variante 44 da tarifa economica light.,0.97,2,3
ECONOMICA_STANDARD_44,Variante 44 da tarifa economica standard.,1.02,31,3
ECONOMICA_PLUS_44,Variante 44 da tarifa economica plus.,1.17,26,5
ECONOMICA_FLEX_44,Variante 44 da tarifa economica flex.,1.19,32,5
EXECUTIVA_LIGHT_44,Variante 44 da tarifa executiva light.,2.28,40,3
EXECUTIVA_STANDARD_44,Variante 44 da tarifa executiva standard.,2.36,40,2
EXECUTIVA_FLEX_44,Variante 44 da tarifa executiva flex.,3.13,35,2
PRIMEIRA_CLASSE_44,Variante 44 da tarifa primeira classe.,3.74,50,2
PRIMEIRA_FLEX_44,Variante 44 da tarifa primeira flex.,5.15,60,2
PREMIUM_ECONOMY_44,Variante 44 da tarifa premium economy.,1.82,31,3
BUSINESS_SAVER_44,Variante 44 da tarifa business saver.,1.9,36,2
BUSINESS_FULL_44,Variante 44 da tarifa business full.,3.2,40,1
PROMO_BASICA_44,Variante 44 da tarifa promo basica.,0.63,7,2
PROMO_ESPECIAL_44,Variante 44 da tarifa promo especial.,0.88,22,4
CORPORATE_44,Variante 44 da tarifa corporate.,1.64,28,5
ESTUDANTE_44,Variante 44 da tarifa estudante.,0.45,17,1
MILITAR_44,Variante 44 da tarifa militar.,0.7,32,1
IDOSO_44,Variante 44 da tarifa idoso.,0.61,20,4
FAMILIA_44,Variante 44 da tarifa familia.,1.14,24,2
GRUPO_44,Variante 44 da tarifa grupo.,0.73,30,2
ECONOMICA_LIGHT_45,Variante 45 da tarifa economica light.,1.06,9,5
ECONOMICA_STANDARD_45,Variante 45 da tarifa economica standard.,0.73,18,5
ECONOMICA_PLUS_45,Variante 45 da tarifa economica plus.,1.38,35,3
ECONOMICA_FLEX_45,Variante 45 da tarifa economica flex.,1.43,27,5
EXECUTIVA_LIGHT_45,Variante 45 da tarifa executiva light.,1.96,35,4
EXECUTIVA_STANDARD_45,Variante 45 da tarifa executiva standard.,2.35,36,1
EXECUTIVA_FLEX_45,Variante 45 da tarifa executiva flex.,3.25,43,2
PRIMEIRA_CLASSE_45,Variante 45 da tarifa primeira classe.,3.85,48,1
PRIMEIRA_FLEX_45,Variante 45 da tarifa primeira flex.,5.13,52,4
PREMIUM_ECONOMY_45,Variante 45 da tarifa premium economy.,1.35,23,5
BUSINESS_SAVER_45,Variante 45 da tarifa business saver.,2.43,40,1
BUSINESS_FULL_45,Variante 45 da tarifa business full.,3.6,51,3
PROMO_BASICA_45,Variante 45 da tarifa promo basica.,0.5,0,5
PROMO_ESPECIAL_45,Variante 45 da tarifa promo especial.,0.98,19,2
CORPORATE_45,Variante 45 da tarifa corporate.,2.08,31,3
ESTUDANTE_45,Variante 45 da tarifa estudante.,0.93,15,1
MILITAR_45,Variante 45 da tarifa militar.,0.77,30,2
IDOSO_45,Variante 45 da tarifa idoso.,0.77,31,1
FAMILIA_45,Variante 45 da tarifa familia.,1.07,32,5
GRUPO_45,Variante 45 da tarifa grupo.,1.01,23,3
ECONOMICA_LIGHT_46,Variante 46 da tarifa economica light.,0.85,3,4
ECONOMICA_STANDARD_46,Variante 46 da tarifa economica standard.,0.96,22,1
ECONOMICA_PLUS_46,Variante 46 da tarifa economica plus.,0.96,29,3
ECONOMICA_FLEX_46,Variante 46 da tarifa economica flex.,1.63,25,2
EXECUTIVA_LIGHT_46,Variante 46 da tarifa executiva light.,2.12,29,5
EXECUTIVA_STANDARD_46,Variante 46 da tarifa executiva standard.,2.29,39,2
EXECUTIVA_FLEX_46,Variante 46 da tarifa executiva flex.,3.01,44,1
PRIMEIRA_CLASSE_46,Variante 46 da tarifa primeira classe.,3.79,57,2
PRIMEIRA_FLEX_46,Variante 46 da tarifa primeira flex.,4.72,56,5
PREMIUM_ECONOMY_46,Variante 46 da tarifa premium economy.,1.83,35,3
BUSINESS_SAVER_46,Variante 46 da tarifa business saver.,2.31,34,4
BUSINESS_FULL_46,Variante 46 da tarifa business full.,3.34,51,2
PROMO_BASICA_46,Variante 46 da tarifa promo basica.,0.55,0,2
PROMO_ESPECIAL_46,Variante 46 da tarifa promo especial.,0.61,24,1
CORPORATE_46,Variante 46 da tarifa corporate.,1.51,27,2
ESTUDANTE_46,Variante 46 da tarifa estudante.,0.82,19,5
MILITAR_46,Variante 46 da tarifa militar.,0.97,23,5
IDOSO_46,Variante 46 da tarifa idoso.,0.67,31,1
FAMILIA_46,Variante 46 da tarifa familia.,1.18,30,3
GRUPO_46,Variante 46 da tarifa grupo.,0.99,24,4
ECONOMICA_LIGHT_47,Variante 47 da tarifa economica light.,0.57,0,1
ECONOMICA_STANDARD_47,Variante 47 da tarifa economica standard.,0.98,23,2
ECONOMICA_PLUS_47,Variante 47 da tarifa economica plus.,0.93,38,4
ECONOMICA_FLEX_47,Variante 47 da tarifa economica flex.,1.11,27,2
EXECUTIVA_LIGHT_47,Variante 47 da tarifa executiva light.,2.04,31,4
EXECUTIVA_STANDARD_47,Variante 47 da tarifa executiva standard.,2.25,37,2
EXECUTIVA_FLEX_47,Variante 47 da tarifa executiva flex.,2.82,39,5
PRIMEIRA_CLASSE_47,Variante 47 da tarifa primeira classe.,4.14,58,1
PRIMEIRA_FLEX_47,Variante 47 da tarifa primeira flex.,4.91,49,1
PREMIUM_ECONOMY_47,Variante 47 da tarifa premium economy.,1.69,28,5
BUSINESS_SAVER_47,Variante 47 da tarifa business saver.,2.33,30,4
BUSINESS_FULL_47,Variante 47 da tarifa business full.,3.64,53,3
PROMO_BASICA_47,Variante 47 da tarifa promo basica.,0.43,3,3
PROMO_ESPECIAL_47,Variante 47 da tarifa promo especial.,0.63,11,3
CORPORATE_47,Variante 47 da tarifa corporate.,1.89,29,4
ESTUDANTE_47,Variante 47 da tarifa estudante.,0.7,22,3
MILITAR_47,Variante 47 da tarifa militar.,0.78,20,1
IDOSO_47,Variante 47 da tarifa idoso.,0.97,28,2
FAMILIA_47,Variante 47 da tarifa familia.,0.8,35,2
GRUPO_47,Variante 47 da tarifa grupo.,1.23,24,4
ECONOMICA_LIGHT_48,Variante 48 da tarifa economica light.,1.01,3,2
ECONOMICA_STANDARD_48,Variante 48 da tarifa economica standard.,0.91,31,1
ECONOMICA_PLUS_48,Variante 48 da tarifa economica plus.,1.19,38,5
ECONOMICA_FLEX_48,Variante 48 da tarifa economica flex.,1.2,35,1
EXECUTIVA_LIGHT_48,Variante 48 da tarifa executiva light.,2.15,31,4
EXECUTIVA_STANDARD_48,Variante 48 da tarifa executiva standard.,2.6,40,4
EXECUTIVA_FLEX_48,Variante 48 da tarifa executiva flex.,2.97,35,5
PRIMEIRA_CLASSE_48,Variante 48 da tarifa primeira classe.,3.94,58,4
PRIMEIRA_FLEX_48,Variante 48 da tarifa primeira flex.,5.26,57,2
PREMIUM_ECONOMY_48,Variante 48 da tarifa premium economy.,1.81,28,1
BUSINESS_SAVER_48,Variante 48 da tarifa business saver.,2.47,44,4
BUSINESS_FULL_48,Variante 48 da tarifa business full.,3.71,54,5
PROMO_BASICA_48,Variante 48 da tarifa promo basica.,0.81,3,5
PROMO_ESPECIAL_48,Variante 48 da tarifa promo especial.,0.58,24,1
CORPORATE_48,Variante 48 da tarifa corporate.,1.9,26,2
ESTUDANTE_48,Variante 48 da tarifa estudante.,0.67,16,4
MILITAR_48,Variante 48 da tarifa militar.,1.13,23,5
IDOSO_48,Variante 48 da tarifa idoso.,0.78,33,3
FAMILIA_48,Variante 48 da tarifa familia.,1.38,24,2
GRUPO_48,Variante 48 da tarifa grupo.,0.84,23,2
ECONOMICA_LIGHT_49,Variante 49 da tarifa economica light.,0.68,4,4
ECONOMICA_STANDARD_49,Variante 49 da tarifa economica standard.,1.23,30,5
ECONOMICA_PLUS_49,Variante 49 da tarifa economica plus.,0.99,28,2
ECONOMICA_FLEX_49,Variante 49 da tarifa economica flex.,1.15,38,3
EXECUTIVA_LIGHT_49,Variante 49 da tarifa executiva light.,2.06,38,2
EXECUTIVA_STANDARD_49,Variante 49 da tarifa executiva standard.,2.41,40,1
EXECUTIVA_FLEX_49,Variante 49 da tarifa executiva flex.,3.28,43,3
PRIMEIRA_CLASSE_49,Variante 49 da tarifa primeira classe.,4.09,47,1
PRIMEIRA_FLEX_49,Variante 49 da tarifa primeira flex.,4.76,60,2
PREMIUM_ECONOMY_49,Variante 49 da tarifa premium economy.,1.63,22,5
BUSINESS_SAVER_49,Variante 49 da tarifa business saver.,1.99,37,1
BUSINESS_FULL_49,Variante 49 da tarifa business full.,3.71,53,2
PROMO_BASICA_49,Variante 49 da tarifa promo basica.,0.48,5,5
PROMO_ESPECIAL_49,Variante 49 da tarifa promo especial.,0.87,15,1
CORPORATE_49,Variante 49 da tarifa corporate.,1.82,33,5
ESTUDANTE_49,Variante 49 da tarifa estudante.,0.93,15,4
MILITAR_49,Variante 49 da tarifa militar.,0.79,20,3
IDOSO_49,Variante 49 da tarifa idoso.,1.11,21,1
FAMILIA_49,Variante 49 da tarifa familia.,0.91,25,3
GRUPO_49,Variante 49 da tarifa grupo.,0.84,23,1
